
0 0.46310207
1 0.341509
2 0.310258
3 0.31590998
4 0.329952
5 0.3471321
6 0.3604615
7 0.36867324
8 0.37557346
9 0.38785282
10 0.39588988
11 0.39984757
12 0.40341437
13 0.40702736
14 0.4062051
15 0.40622658
16 0.41040075
17 0.4118645
18 0.413457
19 0.4155016
20 0.41693094
21 0.42004898
22 0.42237446
23 0.42415407
24 0.42383924
25 0.4245799
26 0.42391914
27 0.4234943
28 0.4227553
29 0.4225095
30 0.42010114
31 0.42046008
32 0.4189384
33 0.41808105
34 0.4174196
35 0.4170799
36 0.41555598
37 0.41497958
38 0.41647732
39 0.41468385
40 0.41485488
41 0.4154366
42 0.41403842
43 0.41413534
44 0.41373804
45 0.4130614
46 0.41270885
47 0.41292673
48 0.41237468
49 0.41139883
50 0.4117371
51 0.41104844
52 0.4115033
53 0.4109498
54 0.41115043
55 0.41142303
56 0.41133603
57 0.41019955
58 0.41092667
59 0.4111664
60 0.41108122
61 0.41127416
62 0.41009077
63 0.40996054
64 0.4092775
65 0.40878662
66 0.40871182
67 0.4087165
68 0.4075944
69 0.40864733
70 0.40749982
71 0.4066284
72 0.40664974
73 0.40596047
74 0.40678385
75 0.40541258
76 0.40603405
77 0.404298
78 0.4037942
79 0.40323907
80 0.4030738
81 0.40185994
82 0.40152854
83 0.40255678
84 0.40063387
85 0.40086567
86 0.4005027
87 0.40046808
88 0.40027088
89 0.4003548
90 0.39884886
91 0.39932498
92 0.3996062
93 0.39995
94 0.39859307
95 0.3984325
96 0.39847094
97 0.39884147
98 0.39937395
99 0.39937958
